COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT
2,24,24,2022-2023,T,SERVICE_INVOICE-15072022-SGIPL-Gyproc Jhagadia SGIPL-V-24-T.pdf,113,18/07/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,18/07/2022 00:00:00,null,null,null
2,24,25,2022-2023,D,SERVICE_INVOICE-31072022-SGIPL-Gyproc Jhagadia SGIPL-V-25-D.pdf,23,01/08/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/08/2022 00:00:00,null,null,null
2,24,25,2022-2023,O,SERVICE_INVOICE-31072022-SGIPL-Gyproc Jhagadia SGIPL-V-25-O.pdf,23,01/08/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/08/2022 00:00:00,null,null,null
2,24,25,2022-2023,T,SERVICE_INVOICE-31072022-SGIPL-Gyproc Jhagadia SGIPL-V-25-T.pdf,23,01/08/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/08/2022 00:00:00,null,null,null
2,24,32,2022-2023,D,SERVICE_INVOICE-15082022-SGIPL-Gyproc Jhagadia SGIPL-V-32-D.pdf,113,16/08/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/08/2022 00:00:00,null,null,null
2,24,32,2022-2023,O,SERVICE_INVOICE-15082022-SGIPL-Gyproc Jhagadia SGIPL-V-32-O.pdf,113,16/08/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/08/2022 00:00:00,null,null,null
2,24,32,2022-2023,T,SERVICE_INVOICE-15082022-SGIPL-Gyproc Jhagadia SGIPL-V-32-T.pdf,113,16/08/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/08/2022 00:00:00,null,null,null
2,24,35,2022-2023,D,SERVICE_INVOICE-31082022-SGIPL-Gyproc Jhagadia SGIPL-V-35-D.pdf,113,01/09/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/09/2022 00:00:00,null,null,null
2,24,35,2022-2023,O,SERVICE_INVOICE-31082022-SGIPL-Gyproc Jhagadia SGIPL-V-35-O.pdf,113,01/09/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/09/2022 00:00:00,null,null,null
2,24,35,2022-2023,T,SERVICE_INVOICE-31082022-SGIPL-Gyproc Jhagadia SGIPL-V-35-T.pdf,113,01/09/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/09/2022 00:00:00,null,null,null
2,24,38,2022-2023,D,SERVICE_INVOICE-15092022-SGIPL-Gyproc Jhagadia SGIPL-V-38-D.pdf,113,16/09/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/09/2022 00:00:00,null,null,null
2,24,38,2022-2023,O,SERVICE_INVOICE-15092022-SGIPL-Gyproc Jhagadia SGIPL-V-38-O.pdf,113,16/09/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/09/2022 00:00:00,null,null,null
2,24,38,2022-2023,T,SERVICE_INVOICE-15092022-SGIPL-Gyproc Jhagadia SGIPL-V-38-T.pdf,113,16/09/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/09/2022 00:00:00,null,null,null
2,24,41,2022-2023,D,SERVICE_INVOICE-30092022-SGIPL-Gyproc Jhagadia SGIPL-V-41-D.pdf,113,03/10/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,03/10/2022 00:00:00,null,null,null
2,24,41,2022-2023,O,SERVICE_INVOICE-30092022-SGIPL-Gyproc Jhagadia SGIPL-V-41-O.pdf,113,03/10/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,03/10/2022 00:00:00,null,null,null
2,24,41,2022-2023,T,SERVICE_INVOICE-30092022-SGIPL-Gyproc Jhagadia SGIPL-V-41-T.pdf,113,03/10/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,03/10/2022 00:00:00,null,null,null
2,24,45,2022-2023,D,SERVICE_INVOICE-15102022-SGIPL-Gyproc Jhagadia SGIPL-V-45-D.pdf,113,17/10/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,17/10/2022 00:00:00,null,null,null
2,24,45,2022-2023,O,SERVICE_INVOICE-15102022-SGIPL-Gyproc Jhagadia SGIPL-V-45-O.pdf,113,17/10/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,17/10/2022 00:00:00,null,null,null
2,24,45,2022-2023,T,SERVICE_INVOICE-15102022-SGIPL-Gyproc Jhagadia SGIPL-V-45-T.pdf,113,17/10/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,17/10/2022 00:00:00,null,null,null
2,24,48,2022-2023,D,SERVICE_INVOICE-31102022-SGIPL-Gyproc Jhagadia SGIPL-V-48-D.pdf,113,01/11/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/11/2022 00:00:00,null,null,null
2,24,48,2022-2023,O,SERVICE_INVOICE-31102022-SGIPL-Gyproc Jhagadia SGIPL-V-48-O.pdf,113,01/11/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/11/2022 00:00:00,null,null,null
